"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","tmsplitcheckcombined2.visib","wdsp","tmsplitcheckcombined2.Num_collision"
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,67.2,63.3,10,9.2,0.764285714285714
"187",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,69.1,65.9,9.3,10.9,0.828571428571429
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,73.5,67.3,7,6.4,0.585714285714286
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,70.6,68.7,4.1,6.6,0.471428571428571
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,71.1,69,4.1,10.1,0.728571428571429
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,73.8,65.7,8.3,10.1,0.8
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,68.3,55.6,10,6.9,0.764285714285714
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,72.4,68.4,9,13.5,0.835714285714286
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,74.3,68.6,7.3,12,0.65
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,73.2,63.2,10,8.7,0.585714285714286
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,71.5,68.8,9.9,8.7,0.757142857142857
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,75.3,69.3,9,12.1,0.835714285714286
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,75.4,66.3,10,7,0.885714285714286
